순위,시군구,위치,학교명,학교유형,응시자수,평균,국어,영어,수학,특목고진학률,대학교진학률,진학수,졸업자수,위도,경도
1,마포구,마포구 염리동,서울여자중학교,중학교,157,90.9,97.5,93,82.2,5.1,,7,137,37.5477805,126.94907
2,마포구,마포구 상암동,상암중학교,중학교,369,86.5,95.1,83.2,81.3,1.9,,8,402,37.57905692,126.8875508
3,마포구,마포구 중동,중암중학교,중학교,309,86.3,91.9,86.2,81,3.6,,8,218,37.57243177,126.9035851
4,마포구,마포구 대흥동,숭문중학교,중학교,174,84.6,91.9,83.3,78.7,2.9,,4,135,37.55089081,126.9457689
5,마포구,마포구 신수동,신수중학교,중학교,168,83.1,91.1,84.5,73.8,1.1,,2,169,37.545923,126.934132
6,마포구,마포구 염리동,동도중학교,중학교,222,82.9,91.9,79.3,77.5,3.9,,9,229,37.54670177,126.9469053
7,마포구,마포구 신수동,광성중학교,중학교,148,81.5,87.2,83.8,73.6,0,,0,92,37.54869756,126.9359696
8,마포구,마포구 성산동,홍익대학교사범대학부속여자중학교,중학교,155,78.9,91.6,80.6,64.5,2.6,,3,112,37.55964474,126.9132084
9,마포구,마포구 노고산동,창천중학교,중학교,127,76.9,88.2,77.9,64.6,2,,2,100,37.55498958,126.9392951
10,마포구,마포구 합정동,성산중학교,중학교,270,75.9,88.2,72.2,67.4,1,,2,186,37.54731637,126.9165628
11,마포구,마포구 성산동,성사중학교,중학교,224,74.8,89.3,71.9,63.4,1.6,,2,123,37.5680911,126.912683
12,마포구,마포구 아현동,아현중학교,중학교,167,74.6,88.6,73.1,62.3,0.6,,1,150,37.55640071,126.9565
13,마포구,마포구 연남동,경성중학교,중학교,160,73.5,86.2,70.6,63.8,1,,1,95,37.56351064,126.9191663
14,마포구,마포구 성산동,성서중학교,중학교,227,71.1,81.1,70.1,62.1,1.2,,2,162,37.5627873,126.9079522
1,마포구,마포구 대흥동,숭문고등학교,고등학교,244,94.8,94.7,96.7,93,,58.3,98,168,37.55087275,126.9457596
2,마포구,마포구 성산동,홍익대학교사범대학부속여자고등학교,고등학교,327,82.7,86.6,89.3,72.2,,51,119,233,37.55964474,126.9132084
3,마포구,마포구 염리동,서울여자고등학교,고등학교,321,81.6,86,88.8,70.1,,47.5,109,229,37.5477805,126.94907
4,마포구,마포구 상암동,상암고등학교,고등학교,353,73.1,73.7,78.8,66.9,,38,114,300,37.58138322,126.8833945
5,마포구,마포구 연남동,경성고등학교,고등학교,249,67.6,67.9,66.3,68.7,,44.5,99,222,37.56351064,126.9191663
6,마포구,마포구 신수동,광성고등학교,고등학교,266,65,62.8,67.3,65,,57.5,126,219,37.54869756,126.9359696
1,서대문구,서대문구 천연동,동명여자중학교,중학교,133,90,97.8,88.7,83.6,6.7,,7,103,37.56861542,126.9622529
2,서대문구,서대문구 대신동,이화여자대학교사범대학부속이화·금란중학교,중학교,220,86.3,93.2,82.7,83.2,9.7,,12,123,37.56264282,126.9444886
3,서대문구,서대문구 홍은동,정원여자중학교,중학교,214,85.5,94,86,76.7,2.1,,3,141,37.58538212,126.9333431
4,서대문구,서대문구 북가좌동,가재울중학교,중학교,224,85.4,92.9,79.9,83.6,4.8,,10,208,37.57517186,126.9099537
5,서대문구,서대문구 북아현동,중앙여자중학교,중학교,103,81.2,94.2,79.6,69.9,0,,0,85,37.56317672,126.9540593
6,서대문구,서대문구 연희동,연북중학교,중학교,173,80,90.8,76.4,72.8,1.8,,2,107,37.57758095,126.9384801
7,서대문구,서대문구 충정로2가,인창중학교,중학교,160,76.6,86.2,73.1,70.6,2.7,,3,110,37.56488513,126.9640232
8,서대문구,서대문구 연희동,서연중학교,중학교,185,76.1,88.1,73.1,67.2,2.8,,3,104,37.56822527,126.9273336
9,서대문구,서대문구 북아현동,한성중학교,중학교,147,74.1,84.4,72.1,66,2,,2,97,37.55909644,126.9544565
10,서대문구,서대문구 남가좌동,연희중학교,중학교,291,73.8,86.9,70.1,64.6,2.5,,7,276,37.57958728,126.9187918
11,서대문구,서대문구 홍은동,명지중학교,중학교,247,73.5,87.9,70,62.7,2.2,,5,222,37.58491135,126.9270902
12,서대문구,서대문구 연희동,신연중학교,중학교,168,71.2,87.5,66.9,59.2,3.2,,4,123,37.58271543,126.9398364
13,서대문구,서대문구 홍제동,인왕중학교,중학교,194,71.1,82.5,67,63.9,0.5,,1,173,37.59273522,126.9517793
14,서대문구,서대문구 홍은동,홍은중학교,중학교,186,70.7,80.6,65,66.7,2.6,,3,112,37.59189151,126.9357524
1,서대문구,서대문구 현저동,한성과학고등학교,고등학교,142,99.7,99.3,100,100,,78.4,113,144,37.57543617,126.9523709
2,서대문구,서대문구 대신동,이화여자대학교사범대학부속이화금란고등학교,고등학교,405,94.9,95.3,95.3,94.3,,46.7,174,372,37.56638886,126.9473028
3,서대문구,서대문구 북아현동,한성고등학교,고등학교,222,80.6,80.6,84.7,76.6,,50.2,86,171,37.55909644,126.9544615
4,서대문구,서대문구 북아현동,중앙여자고등학교,고등학교,257,80.4,81.3,88.3,71.6,,41.6,67,161,37.56317672,126.9540593
5,서대문구,서대문구 충정로2가,인창고등학교,고등학교,258,69.6,70.5,73.6,64.7,,63.1,130,206,37.56488513,126.9640232
6,서대문구,서대문구 홍은3동,명지고등학교,고등학교,517,64.6,67.3,68.5,58,,59.1,272,460,37.58491135,126.9270902
7,서대문구,서대문구 북가좌동,가재울고등학교,고등학교,229,52.8,54.6,58.1,45.8,,37.5,81,216,37.57444587,126.9094148
1,서초구,서초구 서초동,서운중학교,중학교,348,95.5,99.1,95.7,91.9,2.9,,9,307,37.49394851,127.0245382
2,서초구,서초구 반포동,원촌중학교,중학교,326,94.1,98.2,93,91.1,0.7,,2,262,37.5063251,127.0146997
3,서초구,서초구 반포동,세화여자중학교,중학교,323,94,97.5,94.7,89.8,3.5,,9,255,37.5019828,126.99423
4,서초구,서초구 서초동,서일중학교,중학교,341,93.8,95.9,95,90.6,5.8,,18,307,37.49852986,127.0232207
5,서초구,서초구 반포동,신반포중학교,중학교,274,92.7,95.3,93.4,89.4,1.7,,4,229,37.50626532,126.9961146
6,서초구,서초구 잠원동,경원중학교,중학교,363,92.1,93.7,92.8,89.8,1.4,,4,282,37.5115816,127.0090183
7,서초구,서초구 방배동,서문여자중학교,중학교,271,91.5,97.8,93,83.8,1,,2,199,37.48891973,126.9845622
8,서초구,서초구 잠원동,신동중학교,중학교,280,91.2,93.2,93.2,87.2,5,,12,239,37.5169159,127.0129154
